perfecto para golosos que acaban de salir del gluten,"¡Acabo de comenzar la dieta paleo y me encanta! Perdió 4 libras en como una semana! de todos modos, me alegré de descubrir que hay galletas paleo y ¡gracias a Dios que son buenas! Me encantó el original y cuando me los enviaron me dieron una muestra de tropical y ¡eso también me encantó! ¡así que pedí el tropical y obtuve una muestra de selva tropical! al principio son buenos, pero si lees los ingredientes, verás que hay pimienta de cayena y soy muy sensible a las especias picantes y ¡PODRÍA sentirlo en mi lengua! fue como un sabor posterior. pero si disfrutas un poco de fuego con tu dulce, ¡te gustará el sabor de la selva tropical! realmente quiero probar los alpinos con sabor, son mucho más oscuros en color, por lo que debería ser interesante :) ¡buen trabajo panadería cavernícola! ¡TE AMO!"
sabor horrible!,"He sido Paleo durante seis meses, al igual que mi compañero. Ambos los encontramos incomestibles. Los cuatro tipos (que, por cierto, saben casi igual). <br /><br /> Tampoco estoy seguro de qué se trata. Parece que serían buenos con los ingredientes. Pero algo sobre la combinación de sabores simplemente no sabe bien. Seguí probándolos de nuevo, esperando que crecieran en mí. Seguro que no lo hicieron. Finalmente los tiramos. <br /><br /> Por lo tanto, recomendaría obtener solo uno de una cooperativa local o algo antes de comprar un montón en línea. Estoy seguro de lo que tenía."
Como la textura,"Compré un paquete de 40 muestras del sitio web de la panadería cavernícola. No es exactamente como la consistencia de una galleta, sin embargo, la textura y masticabilidad de la galleta que me gusta. Me recuerdan a esas barras naturales de nueces y frutas, como algo o algo así. De los que he probado, Alpine y Tropical son mis favoritos principalmente porque alpine tiene avellana y tropical tiene un sabor a coco. El menos favorito que he probado es la selva tropical, tiene un fuerte sabor a jengibre y no soy fanático del jengibre. Los otros también son bastante buenos. Sin embargo, no me di cuenta de que estas cookies eran tan pequeñas, pero supongo que en base a las grandes porciones de la sociedad actual, esta es una porción normal. <br /><br /> En general es bueno, ¿compraría de nuevo? Tal vez si tuviera una dieta estricta sin gluten."
Demasiado caro para comprar aquí.,La fórmula en sí es genial. Funciona de maravilla para un bebé que escupe pero WTF ... ¿por qué es tan caro aquí? $ 121 por 6 latas de 12.9oz. Eso es $ 20 por una lata de 12.9oz cuando puede comprar una lata de 24oz en cualquier tienda por menos de $ 25. Casi el doble del precio ... No lo entiendo.
Feliz de haber encontrado este producto,"Con todas las opciones de bebidas, esta es excelente. Sabe rico. La mayoría de nuestras opciones están cargadas de azúcar o carbonatadas ... incluso la leche es rica en azúcar. Esta bebida es buena para la presión arterial y el colesterol. Es un excelente calmante de la sed. ¡Mucho mejor para los calurosos meses de verano que la limonada azucarada! Sin embargo, acidifica el pH. Se supone que debo alcalinizar mi dieta, así que no puedo beber mucho de esto. :( <br /><br /> Desde que era un niño pequeño, mi madre fue defensora del vinagre de manzana y la miel para la salud. Hipócrates hubiera estado feliz de descubrir el vinagre de sidra de manzana orgánico Bragg, toda bebida natural: Concord Grape Acai :))) ¡Pruébalo y bebe con buena salud!"
¡Increíble!,"Puede que esto no sea lo mejor que he probado en mi vida, pero hombre, siento resultados instantáneos después de beber un poco. Mejor describiría los efectos como muy cercanos a la buena sensación que experimentas cuando tomas café. Noto que mi circulación se siente fantástica, como si todo mi cuerpo estuviera tibio, una dosis de energía muy saludable y no noto ningún nerviosismo como el café o las bebidas energéticas. La única razón por la que no lo califiqué es 5 porque una botella de 16 oz cuesta $ 3.00, lo que creo que es un poco caro. Pero por la gran sensación que tengo cuando bebo un poco, se lo recomendaría a cualquier otra persona que quiera sentir un impulso de energía, así como una sensación general de bienestar."
buen producto,"Permítanme presentar esto diciendo que lo compré en una tienda local de alimentos saludables por aproximadamente un dólar menos. Me sorprendió gratamente esta bebida. Sabe muy bien, pero definitivamente un poco picante. Lo que me encantó de esto fue lo bien que me sentí después de beberlo. Me sentí despierto y concentrado, y en general muy bien. Definitivamente voy a comprar más."
El sabor está más cerca del aderezo para ensaladas ...,"Me encanta usar cantidades generosas de vinagre en sándwiches, ensaladas, etc., pero esta bebida era tan vinagre que me dio un poco de dolor de estómago. Sabía más parecido al aderezo de ensalada que a una bebida. Intenté realmente que me gustara, pero no lo hice."
Bebida impresionante,"Compré esta bebida localmente y tengo que decirte que la obtuvieron &quot;justo&quot;. Si eres como yo y te gusta el sabor del vinagre, esta bebida no te decepcionará, si también te gusta el sabor de la uva. La mezcla se hizo perfectamente, sin sabor punzante, es un poco suave, pero tiene ese sabor de vinagre que estás buscando. Estoy muy impresionado con eso. Regresé hoy y compré 5 botellas más en la Cooperativa local. Braggs es un vinagre de sidra de manzana muy apreciado, por lo tanto, tener ese tipo de base para comenzar significa mucho. Puedo prometerte que no te decepcionará si lo compras. Tienen un par de otros sabores, que eventualmente probaré, pero este me tiene enganchado. jeje)"
Mejor salsa!,"Esto es lo mejor. Simplemente agregue agua CALIENTE y mezcle. Delicioso con cualquier cosa, incluso puede agregar a las salsas y sopas de crema. Agregue un poco de salchicha y estará en el cielo. Yum Yum. No puede salir mal al ordenar este producto."
